id,Product,ProductCategory,SalesRep,Units,Cost,Region
31,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Computer Peripherals,Don Miller,2277,5.98,Nunavut
32,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Paper,Don Miller,2277,40.99,Nunavut
33,Self-Adhesive Address Labels for Typewriters by Universal,Labels,Alan Barnes,2532,7.31,Nunavut
34,Accessory37,Telephones and Communication,Alan Barnes,2532,20.99,Nunavut
35,Fuji 5.2GB DVD-RAM,Computer Peripherals,Jack Garza,2631,40.96,Nunavut
36,Bevis Steel Folding Chairs,Chairs & Chairmats,Julia West,2757,95.95,Nunavut
37,Avery Binder Labels,Binders and Binder Accessories,Eugene Barchas,2791,3.89,Nunavut
38,Hon Every-Day® Chair Series Swivel Task Chairs,Chairs & Chairmats,Eugene Barchas,2791,120.98,Nunavut
39,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Paper,Eugene Barchas,2791,30.98,Nunavut
40,Global Troy™ Executive Leather Low-Back Tilter,Chairs & Chairmats,Edward Hooks,2976,500.98,Nunavut
41,XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal,Binders and Binder Accessories,Brad Eason,3232,7.84,Nunavut
42,Computer Printout Paper with Letter-Trim Perforations,Paper,Nicole Hansen,3524,18.97,Nunavut
43,6160,Telephones and Communication,Dorothy Wardle,3908,115.99,Nunavut
44,Avery 49,Labels,Aaron Bergman,4132,2.88,Nunavut
45,Hoover Portapower™ Portable Vacuum,Appliances,Jim Radford,4612,4.48,Nunavut
46,Timeport L7089,Telephones and Communication,Annie Cyprus,4676,125.99,Nunavut
47,Avery 510,Labels,Annie Cyprus,4676,3.75,Nunavut
48,Xerox 1881,Paper,Annie Cyprus,4676,12.28,Nunavut
49,LX 788,Telephones and Communication,Annie Cyprus,4676,155.99,Nunavut
50,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Binders and Binder Accessories,Annie Cyprus,5284,8.69,Nunavut
51,"Memorex 4.7GB DVD-RAM, 3/Pack",Computer Peripherals,Clay Rozendal,5316,31.78,Nunavut
52,Unpadded Memo Slips,Paper,Don Jones,5409,3.98,Nunavut
53,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Paper,Beth Thompson,5506,5.88,Nunavut
54,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Office Furnishings,Frank Price,5569,9.65,Nunavut
55,Bell Sonecor JB700 Caller ID,Telephones and Communication,Michelle Lonsdale,5607,7.99,Nunavut
56,Avery Arch Ring Binders,Binders and Binder Accessories,Ann Chong,5894,58.1,Nunavut
57,APC 7 Outlet Network SurgeArrest Surge Protector,Appliances,Ann Chong,5894,80.48,Nunavut
58,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Office Furnishings,Joy Bell,5925,92.23,Nunavut
59,Accessory4,Telephones and Communication,Joy Bell,5925,85.99,Nunavut
60,Personal Creations™ Ink Jet Cards and Labels,Paper,Skye Norling,6016,11.48,Nunavut
61,High Speed Automatic Electric Letter Opener,"Scissors, Rulers and Trimmers",Barry Weirich,6116,1637.53,Nunavut
62,Xerox 1966,Paper,Grant Carroll,6182,6.48,Nunavut
63,Xerox 213,Paper,Grant Carroll,6182,6.48,Nunavut
64,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Pens & Art Supplies,Adrian Hane,6535,28.15,Nunavut
65,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Paper,Skye Norling,6884,4.98,Nunavut
66,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Paper,Skye Norling,6884,6.35,Nunavut
67,Crate-A-Files™,Storage & Organization,Andrew Gjertsen,6916,10.9,Nunavut
68,"Angle-D Binders with Locking Rings, Label Holders",Binders and Binder Accessories,Ralph Knight,6980,7.3,Nunavut
69,"80 Minute CD-R Spindle, 100/Pack - Staples",Computer Peripherals,Dorothy Wardle,6982,39.48,Nunavut
70,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Bookcases,Dorothy Wardle,6982,100.98,Nunavut
71,12-1/2 Diameter Round Wall Clock,Office Furnishings,Dorothy Wardle,6982,19.98,Nunavut
72,SAFCO Arco Folding Chair,Chairs & Chairmats,Grant Carroll,7110,276.2,Nunavut
73,"#10 White Business Envelopes,4 1/8 x 9 1/2",Envelopes,Barry Weirich,7430,15.67,Nunavut
74,3M Office Air Cleaner,Appliances,Beth Paige,7906,25.98,Nunavut
75,"Global Leather and Oak Executive Chair, Black",Chairs & Chairmats,Sylvia Foulston,8391,300.98,Nunavut
76,Xerox 1936,Paper,Nicole Hansen,8419,19.98,Nunavut
77,Xerox 214,Paper,Nicole Hansen,8419,6.48,Nunavut
78,Carina Double Wide Media Storage Towers in Natural & Black,Storage & Organization,Nicole Hansen,8833,80.98,Nunavut
79,Staples® General Use 3-Ring Binders,Binders and Binder Accessories,Beth Paige,8995,1.88,Nunavut
80,Xerox 1904,Paper,Beth Paige,8995,6.48,Northwest Territories
81,Luxo Professional Combination Clamp-On Lamps,Office Furnishings,Beth Paige,8995,102.3,Northwest Territories
82,Xerox 217,Paper,Beth Paige,8995,6.48,Northwest Territories
83,Revere Boxed Rubber Bands by Revere,Rubber Bands,Beth Paige,8995,1.89,Northwest Territories
84,"Acco Smartsocket™ Table Surge Protector, 6 Color-Coded Adapter Outlets",Appliances,Sylvia Foulston,9126,62.05,Northwest Territories
85,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Storage & Organization,Bryan Davis,9127,279.48,Northwest Territories
86,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Chairs & Chairmats,Joy Bell,9509,320.98,Northwest Territories
87,Xerox 1887,Paper,Joy Bell,9509,18.97,Northwest Territories
88,Xerox 1891,Paper,Joy Bell,9509,48.91,Northwest Territories
89,Avery 506,Labels,Alan Barnes,9763,4.13,Northwest Territories
90,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Bookcases,Grant Carroll,9927,140.98,Northwest Territories
91,"Lifetime Advantage™ Folding Chairs, 4/Carton",Chairs & Chairmats,Grant Carroll,9927,218.08,Northwest Territories
92,Microsoft Natural Multimedia Keyboard,Computer Peripherals,Grant Carroll,9927,50.98,Northwest Territories
93,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Paper,Delfina Latchford,10022,10.14,Northwest Territories
94,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Binders and Binder Accessories,Don Jones,10437,15.99,Northwest Territories
95,Bevis Boat-Shaped Conference Table,Tables,Doug Bickford,10499,262.11,Northwest Territories
96,"Linden® 12"" Wall Clock With Oak Frame",Office Furnishings,Doug Bickford,10535,33.98,Northwest Territories
97,Newell 326,Pens & Art Supplies,Doug Bickford,10535,1.76,Northwest Territories
98,Prismacolor Color Pencil Set,Pens & Art Supplies,Jamie Kunitz,10789,19.84,Northwest Territories
99,Xerox Blank Computer Paper,Paper,Anthony Johnson,10791,19.98,Northwest Territories
100,600 Series Flip,Telephones and Communication,Ralph Knight,10945,95.99,Northwest Territories
101,Fellowes Recycled Storage Drawers,Storage & Organization,Allen Rosenblatt,11137,111.03,Northwest Territories
102,Satellite Sectional Post Binders,Binders and Binder Accessories,Barry Weirich,11202,43.41,Northwest Territories
103,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Office Furnishings,Doug Bickford,11456,105.34,Northwest Territories
104,Avery 487,Labels,Carl Jackson,11460,3.69,Northwest Territories
105,Bevis Round Conference Table Top & Single Column Base,Tables,Brendan Dodson,11495,146.34,Northwest Territories
106,"GBC Twin Loop™ Wire Binding Elements, 9/16"" Spine, Black",Binders and Binder Accessories,Edward Hooks,11911,15.22,Northwest Territories
107,Hanging Personal Folder File,Storage & Organization,Jamie Kunitz,11941,15.7,Northwest Territories
108,"Bevis Round Conference Table Top, X-Base",Tables,Jamie Kunitz,11941,179.29,Northwest Territories
109,5125,Telephones and Communication,Michelle Lonsdale,12096,200.99,Northwest Territories
110,Electrix Halogen Magnifier Lamp,Office Furnishings,Michelle Lonsdale,12096,194.3,Northwest Territories
111,Canon BP1200DH 12-Digit Bubble Jet Printing Calculator,Office Machines,Brendan Dodson,12289,120.97,Northwest Territories
112,Fellowes Black Plastic Comb Bindings,Binders and Binder Accessories,Hunter Glantz,12352,5.81,Northwest Territories
113,Polycom ViewStation™ Adapter H323 Videoconferencing Unit,Office Machines,Sylvia Foulston,12419,1938.02,Northwest Territories
114,Hon GuestStacker Chair,Chairs & Chairmats,Eugene Barchas,12485,226.67,Northwest Territories
115,Eldon® Wave Desk Accessories,Office Furnishings,Jim Radford,12544,2.08,Northwest Territories
116,Sharp AL-1530CS Digital Copier,Copiers and Fax,Carlos Soltero,12704,499.99,Northwest Territories
117,"Tennsco Lockers, Gray",Storage & Organization,Carlos Soltero,12704,20.98,Northwest Territories
118,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Labels,Carlos Soltero,12771,30.53,Northwest Territories
119,Newell 323,Pens & Art Supplies,Carlos Soltero,12771,1.68,Northwest Territories
120,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Chairs & Chairmats,Jim Radford,12929,270.98,Northwest Territories
121,Spiral Phone Message Books with Labels by Adams,Paper,Jim Radford,12929,4.48,Northwest Territories
122,Crate-A-Files™,Storage & Organization,Grant Carroll,13280,10.9,Northwest Territories
123,Bell Sonecor JB700 Caller ID,Telephones and Communication,Grant Carroll,13280,7.99,Northwest Territories
124,Holmes 99% HEPA Air Purifier,Appliances,Skye Norling,13313,21.66,Northwest Territories
125,Xerox 224,Paper,Doug Bickford,13346,6.48,Northwest Territories
126,Xerox 1906,Paper,Grant Carroll,13702,35.44,Northwest Territories
127,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Binders and Binder Accessories,Muhammed MacIntyre,13795,15.99,Northwest Territories
128,Xerox 188,Paper,Muhammed MacIntyre,13795,11.34,Northwest Territories
129,Xerox 1932,Paper,Muhammed MacIntyre,13795,35.44,Northwest Territories
130,GBC Linen Binding Covers,Binders and Binder Accessories,Doug Bickford,14116,30.98,Northwest Territories
131,GBC Recycled Grain Textured Covers,Binders and Binder Accessories,Doug Bickford,14116,34.54,Northwest Territories
132,"Sauder Facets Collection Library, Sky Alder Finish",Bookcases,Beth Thompson,14372,170.98,Northwest Territories
133,"Fellowes Basic 104-Key Keyboard, Platinum",Computer Peripherals,Ralph Knight,14726,20.95,Northwest Territories
134,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,Appliances,Carl Jackson,14819,207.48,Northwest Territories
135,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Bookcases,Carl Jackson,14819,58.14,Northwest Territories
136,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Office Furnishings,Dorothy Badders,15106,6.64,Northwest Territories
137,Panasonic KX-P1150 Dot Matrix Printer,Office Machines,Dorothy Badders,15106,145.45,Northwest Territories
138,Newell 327,Pens & Art Supplies,Dorothy Badders,15106,2.21,Northwest Territories
139,Xerox 1893,Paper,Delfina Latchford,15108,40.99,Northwest Territories
140,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs & Chairmats,Julia West,15205,243.98,Northwest Territories
141,Eldon Radial Chair Mat for Low to Medium Pile Carpets,Office Furnishings,Julia West,15205,39.98,Northwest Territories
142,"DAX Copper Panel Document Frame, 5 x 7 Size",Office Furnishings,Brad Eason,15591,12.58,Northwest Territories
143,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Bookcases,Thomas Seio,15907,48.58,Northwest Territories
144,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",Office Furnishings,Thomas Seio,15907,105.98,Northwest Territories
145,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",Paper,Thomas Seio,15907,7.04,Northwest Territories
146,"Memorex Slim 80 Minute CD-R, 10/Pack",Computer Peripherals,Monica Federle,15937,9.78,Northwest Territories
147,Aluminum Document Frame,Office Furnishings,Monica Federle,15937,12.22,Northwest Territories
148,"Memorex 80 Minute CD-R Spindle, 100/Pack",Computer Peripherals,Michelle Lonsdale,16039,43.98,Northwest Territories
149,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Storage & Organization,Frank Price,16193,34.76,Northwest Territories
150,Accessory36,Telephones and Communication,Frank Price,16193,55.99,Northwest Territories
151,Xerox 20,Paper,Bryan Davis,16423,6.48,Northwest Territories
152,Surelock™ Post Binders,Binders and Binder Accessories,Don Jones,16451,30.56,Northwest Territories
153,Colorific® Watercolor Pencils,Pens & Art Supplies,Carlos Soltero,16545,5.16,Northwest Territories
154,"*Staples* vLetter Openers, 2/Pack","Scissors, Rulers and Trimmers",Carlos Soltero,16545,3.68,Northwest Territories
155,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,Chairs & Chairmats,Nicole Hansen,16547,355.98,Northwest Territories
156,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Tables,Nicole Hansen,16547,218.75,Northwest Territories
157,Eldon Econocleat® Chair Mats for Low Pile Carpets,Office Furnishings,Beth Thompson,16706,41.47,Northwest Territories
158,Prang Drawing Pencil Set,Pens & Art Supplies,Beth Thompson,16706,2.78,Northwest Territories
159,T39m,Telephones and Communication,Beth Thompson,16706,155.99,Northwest Territories
160,Xerox 1982,Paper,Nicole Hansen,16741,22.84,Northwest Territories
161,Xerox 1924,Paper,Carlos Soltero,16932,5.78,Northwest Territories
162,Turquoise Lead Holder with Pocket Clip,Pens & Art Supplies,Carlos Soltero,16932,6.7,Northwest Territories
163,Okidata ML395C Color Dot Matrix Printer,Office Machines,Dorothy Badders,17283,1360.14,Northwest Territories
164,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Chairs & Chairmats,Muhammed MacIntyre,17286,270.98,Northwest Territories
165,Microsoft Internet Keyboard,Computer Peripherals,Muhammed MacIntyre,17409,20.97,Northwest Territories
166,Xerox 1982,Paper,Don Miller,17764,22.84,Northwest Territories
167,Global Ergonomic Managers Chair,Chairs & Chairmats,Sylvia Foulston,18080,180.98,Northwest Territories
168,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Chairs & Chairmats,Becky Castell,18113,130.98,Northwest Territories
169,Xerox 1971,Paper,Dorothy Wardle,18144,4.28,Northwest Territories
170,Eldon Portable Mobile Manager,Storage & Organization,Dorothy Wardle,18144,28.28,Northwest Territories
171,Accessory6,Telephones and Communication,Dorothy Wardle,18144,55.99,Northwest Territories
172,Durable Pressboard Binders,Binders and Binder Accessories,Ann Chong,18308,3.8,Northwest Territories
173,Fellowes 17-key keypad for PS/2 interface,Computer Peripherals,Ann Chong,18308,30.73,Northwest Territories
174,StarTAC ST7762,Telephones and Communication,Ann Chong,18308,125.99,Northwest Territories
175,Accessory21,Telephones and Communication,Clay Rozendal,18887,20.99,Northwest Territories
176,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Binders and Binder Accessories,Grant Carroll,19010,1270.99,Northwest Territories
177,Staples 6 Outlet Surge,Appliances,Brendan Dodson,19078,11.97,Northwest Territories
178,Recycled Eldon Regeneration Jumbo File,Storage & Organization,Carlos Daly,19138,12.28,Northwest Territories
179,Verbatim DVD-R 4.7GB authoring disc,Computer Peripherals,Alan Barnes,19655,39.24,Northwest Territories
180,Canon P1-DHIII Palm Printing Calculator,Office Machines,Alan Barnes,19686,17.98,Northwest Territories
181,GBC Binding covers,Binders and Binder Accessories,Alan Barnes,19686,12.95,Northwest Territories
182,Newell 323,Pens & Art Supplies,Nicole Hansen,20007,1.68,Northwest Territories
183,"Global Stack Chair without Arms, Black",Chairs & Chairmats,Cari Schnelling,20071,25.98,Northwest Territories
184,"Speediset Carbonless Redi-Letter® 7"" x 8 1/2""",Paper,Chad Cunningham,20160,10.31,Northwest Territories
185,GBC Recycled Regency Composition Covers,Binders and Binder Accessories,Bryan Mills,20263,59.78,Northwest Territories
186,Accessory29,Telephones and Communication,Bryan Mills,20263,20.99,Northwest Territories
187,Newell 323,Pens & Art Supplies,Adrian Hane,21285,1.68,Northwest Territories
188,SANFORD Major Accent™ Highlighters,Pens & Art Supplies,Adrian Hane,21285,7.08,Northwest Territories
189,Polycom ViaVideo™ Desktop Video Communications Unit,Office Machines,Rick Reed,21383,574.74,Northwest Territories
190,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Pens & Art Supplies,Heather Kirkland,21607,36.55,Northwest Territories
191,Accessory24,Telephones and Communication,Fred Wasserman,21636,55.99,Northwest Territories
192,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Office Furnishings,Becky Castell,21889,51.75,Northwest Territories
193,Recycled Steel Personal File for Standard File Folders,Storage & Organization,Becky Castell,21889,55.29,Northwest Territories
194,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Office Furnishings,Beth Thompson,22151,9.65,Northwest Territories
195,Accessory39,Telephones and Communication,Claudia Miner,22342,20.99,Northwest Territories
196,Bell Sonecor JB700 Caller ID,Telephones and Communication,Jack Lebron,22469,7.99,Northwest Territories
197,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Envelopes,Alan Barnes,22501,7.64,Northwest Territories
198,GBC Standard Plastic Binding Systems Combs,Binders and Binder Accessories,Carlos Soltero,22532,8.85,Northwest Territories
199,Xerox 1930,Paper,Clay Rozendal,23264,6.48,Northwest Territories
200,Avery 474,Labels,Clay Rozendal,23264,2.88,Northwest Territories
201,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Bookcases,Julia West,23488,880.98,Northwest Territories
202,Hewlett-Packard Deskjet 6122 Color Inkjet Printer,Office Machines,Alan Barnes,23584,200.97,Northwest Territories
203,"IBM 80 Minute CD-R Spindle, 50/Pack",Computer Peripherals,Joy Bell,24007,20.89,Northwest Territories
204,"Peel & Seel® Recycled Catalog Envelopes, Brown",Envelopes,Joy Bell,24007,11.58,Northwest Territories
205,Avery 506,Labels,Joy Bell,24007,4.13,Northwest Territories
206,Prang Drawing Pencil Set,Pens & Art Supplies,Jack Lebron,24038,2.78,Northwest Territories
207,TDK 4.7GB DVD+RW,Computer Peripherals,Anthony Johnson,24097,14.48,Northwest Territories
208,U.S. Robotics 56K Internet Call Modem,Computer Peripherals,Anthony Johnson,24097,99.99,Northwest Territories
209,Xerox 190,Paper,Anthony Johnson,24097,4.98,Northwest Territories
210,Standard Line™ “While You Were Out” Hardbound Telephone Message Book,Paper,Eugene Barchas,24128,21.98,Northwest Territories
211,CF 888,Telephones and Communication,Eugene Barchas,24128,195.99,Northwest Territories
212,Hewlett-Packard Deskjet 6122 Color Inkjet Printer,Office Machines,Thomas Seio,24294,200.97,Northwest Territories
213,Dana Halogen Swing-Arm Architect Lamp,Office Furnishings,Bryan Mills,24387,40.97,Northwest Territories
214,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Tables,Bryan Mills,24387,349.45,Northwest Territories
215,Lexmark Z25 Color Inkjet Printer,Office Machines,Eugene Barchas,24515,80.97,Northwest Territories
216,Hon Multipurpose Stacking Arm Chairs,Chairs & Chairmats,Sylvia Foulston,24743,216.6,Northwest Territories
217,Hon Olson Stacker Stools,Chairs & Chairmats,Sylvia Foulston,24743,140.81,Northwest Territories
218,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Office Furnishings,Carl Ludwig,24871,22.72,Northwest Territories
219,12-1/2 Diameter Round Wall Clock,Office Furnishings,Julia West,25318,19.98,Northwest Territories
220,Epson DFX5000+ Dot Matrix Printer,Office Machines,Don Jones,25377,1500.97,Northwest Territories
221,"Fellowes Basic 104-Key Keyboard, Platinum",Computer Peripherals,Mike Pelletier,25634,20.95,Northwest Territories
222,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Envelopes,Mike Pelletier,25634,23.99,Northwest Territories
223,GBC Standard Therm-A-Bind Covers,Binders and Binder Accessories,Eugene Barchas,25733,24.92,Northwest Territories
224,"80 Minute CD-R Spindle, 100/Pack - Staples",Computer Peripherals,Ann Chong,25767,39.48,Northwest Territories
225,Xerox 1892,Paper,Ann Chong,25767,38.76,Northwest Territories
226,Staples Paper Clips,Rubber Bands,Charles McCrossin,26023,2.47,Northwest Territories
227,"Metal Folding Chairs, Beige, 4/Carton",Chairs & Chairmats,Annie Cyprus,26051,33.94,Northwest Territories
228,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",Computer Peripherals,Annie Cyprus,26051,8.33,Northwest Territories
229,Computer Printout Paper with Letter-Trim Perforations,Paper,Carlos Soltero,26116,18.97,Northwest Territories
230,Bush Mission Pointe Library,Bookcases,Doug Bickford,26182,150.98,Northwest Territories
231,Hon Olson Stacker Stools,Chairs & Chairmats,Carlos Daly,26272,140.81,Northwest Territories
232,Xerox 1929,Paper,Fred Wasserman,26370,22.84,Northwest Territories
233,Home/Office Personal File Carts,Storage & Organization,Fred Wasserman,26370,34.76,Northwest Territories
234,Avery 507,Labels,Sylvia Foulston,26499,2.88,Northwest Territories
235,i470,Telephones and Communication,Michelle Lonsdale,26531,205.99,Northwest Territories
236,3M Organizer Strips,Binders and Binder Accessories,Sylvia Foulston,26567,5.4,Northwest Territories
237,"Imation 3.5 IBM Diskettes, 10/Box",Computer Peripherals,Sylvia Foulston,26567,8.46,Northwest Territories
238,"GE 4 Foot Flourescent Tube, 40 Watt",Office Furnishings,Sylvia Foulston,26567,14.98,Northwest Territories
239,300 Series Non-Flip,Telephones and Communication,Sylvia Foulston,26567,155.99,Northwest Territories
240,"Executive Impressions 13"" Chairman Wall Clock",Office Furnishings,Charlotte Melton,26854,25.38,Northwest Territories
241,Micro Innovations 104 Keyboard,Computer Peripherals,Barry French,27109,10.97,Northwest Territories
242,US Robotics 56K V.92 External Faxmodem,Computer Peripherals,Heather Kirkland,27111,99.99,Northwest Territories
243,Fellowes Staxonsteel® Drawer Files,Storage & Organization,Heather Kirkland,27111,193.17,Northwest Territories
244,Accessory39,Telephones and Communication,Heather Kirkland,27111,20.99,Northwest Territories
245,Telescoping Adjustable Floor Lamp,Office Furnishings,Henry Goldwyn,27264,19.99,Northwest Territories
246,Canon MP41DH Printing Calculator,Office Machines,Frank Price,27392,150.98,Northwest Territories
247,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",Storage & Organization,Jim Radford,27553,370.98,Northwest Territories
248,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Telephones and Communication,Jim Radford,27553,179.99,Northwest Territories
249,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",Paper,Ralph Knight,27555,6.74,Northwest Territories
250,Belkin 6 Outlet Metallic Surge Strip,Appliances,Delfina Latchford,27680,10.89,Northwest Territories
251,Xerox 21,Paper,Delfina Latchford,27680,6.48,Northwest Territories
252,GBC DocuBind TL200 Manual Binding Machine,Binders and Binder Accessories,Roy Skaria,27778,223.98,Northwest Territories
253,"Sauder Forest Hills Library, Woodland Oak Finish",Bookcases,Roy Skaria,27778,140.98,Northwest Territories
254,Xerox 1940,Paper,Monica Federle,27909,54.96,Northwest Territories
255,Bagged Rubber Bands,Rubber Bands,Monica Federle,27909,1.26,Northwest Territories
256,Xerox 1897,Paper,Charles McCrossin,28003,4.98,Northwest Territories
257,Poly Designer Cover & Back,Binders and Binder Accessories,Don Miller,28035,18.99,Northwest Territories
258,Bionaire Personal Warm Mist Humidifier/Vaporizer,Appliances,Jeremy Lonsdale,28135,46.89,Northwest Territories
259,"Acme® 8"" Straight Scissors","Scissors, Rulers and Trimmers",Jeremy Lonsdale,28135,12.98,Northwest Territories
260,Heavy-Duty E-Z-D® Binders,Binders and Binder Accessories,Grant Carroll,28165,10.91,Northwest Territories
261,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Paper,Carl Ludwig,28289,4.98,Northwest Territories
262,Deluxe Rollaway Locking File with Drawer,Storage & Organization,Carlos Daly,28486,415.88,Northwest Territories
263,252,Telephones and Communication,Ralph Knight,28675,65.99,Northwest Territories
264,6160,Telephones and Communication,Cindy Schnelling,28870,115.99,Northwest Territories
265,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Computer Peripherals,Claudia Miner,28871,5.02,Northwest Territories
266,Prismacolor Color Pencil Set,Pens & Art Supplies,Roy Skaria,29030,19.84,Northwest Territories
